"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-01","7.83",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0","T,,W,2400",,,"19",",,W","7",",,W",,,"  300",",,W","  300",",,W","15.0",",,W","25.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-02","8.05",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"26",",,W","13",",,W",,,"  260",",,W","  250",",,W","16.1",",,W","28.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-03","3.13",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0","T,,W,2400",,,"30",",,W","16",",,W",,,"  260",",,W","  270",",,W","14.1",",,W","21.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-04","12.53",",,W",,,"0.76",",,W,2400","9.8",",,W,2400","1.2",",,W,2400",,,"29",",,W","19",",,W",,,"  310",",,W","  310",",,W","23.9",",,W","42.9",",,W","    1",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-05","12.97",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","7.1",",,W,2400",,,"19",",,W","9",",,W",,,"  280",",,W","  280",",,W","21.0",",,W","35.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-06","10.96",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","5.9",",,W,2400",,,"13",",,W","6",",,W",,,"  310",",,W","  310",",,W","19.9",",,W","31.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-07","6.49",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","5.9",",,W,2400",,,"18",",,W","5",",,W",,,"  250",",,W","  250",",,W","16.1",",,W","28.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-08","5.82",",,W",,,"0.01",",,W,2400","0.0","T,,W,2400","5.1",",,W,2400",,,"31",",,W","17",",,W",,,"  250",",,W","  240",",,W","15.0",",,W","27.1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-09","6.71",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","5.1",",,W,2400",,,"44",",,W","30",",,W",,,"  310",",,W","  330",",,W","15.0",",,W","27.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-10","4.25",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","3.9",",,W,2400",,,"43",",,W","30",",,W",,,"  150",",,W","  180",",,W","10.1",",,W","14.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-11","3.13",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","3.1",",,W,2400",,,"53",",,W","41",",,W",,,"  160",",,W","  170",",,W","12.1",",,W","19.0",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-12","6.93",",,W",,,"0.54",",,W,2400","0.0",",,W,2400","0.0","T,,W,2400",,,"61",",,W","44",",,W",,,"  170",",,W","  170",",,W","14.1",",,W","25.1",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-13","9.62",",,W",,,"0.05",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"58",",,W","19",",,W",,,"  310",",,W","  280",",,W","18.1",",,W","30.0",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-14","8.05",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"25",",,W","15",",,W",,,"   20",",,W","  330",",,W","15.0",",,W","23.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-15","8.05",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"30",",,W","16",",,W",,,"   50",",,W","   50",",,W","16.1",",,W","21.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-16","4.03",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"36",",,W","25",",,W",,,"   50",",,W","   90",",,W","8.1",",,W","11.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-17","6.04",",,W",,,"0.19",",,W,2400","0.4",",,W,2400","0.0",",,W,2400",,,"36",",,W","22",",,W",,,"  310",",,W","  300",",,W","13.0",",,W","19.9",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-18","7.83",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0","T,,W,2400",,,"32",",,W","18",",,W",,,"  310",",,W","  320",",,W","14.1",",,W","21.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-19","5.37",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0","T,,W,2400",,,"41",",,W","24",",,W",,,"  250",",,W","  260",",,W","13.0",",,W","23.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-20","8.50",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0","T,,W,2400",,,"52",",,W","38",",,W",,,"  290",",,W","  250",",,W","19.9",",,W","29.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-21","2.91",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"50",",,W","42",",,W",,,"  280",",,W","  270",",,W","8.9",",,W","14.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-22","5.37",",,W",,,"0.01",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"49",",,W","38",",,W",,,"   60",",,W","   50",",,W","14.1",",,W","18.1",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-23","6.26",",,W",,,"0.30",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"60",",,W","38",",,W",,,"  280",",,W","  290",",,W","21.9",",,W","38.0",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-24","9.40",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"44",",,W","27",",,W",,,"  290",",,W","  280",",,W","16.1",",,W","25.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-25","6.71",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"34",",,W","23",",,W",,,"  310",",,W","  320",",,W","15.0",",,W","25.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-26","3.80",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"38",",,W","26",",,W",,,"  170",",,W","  180",",,W","13.0",",,W","19.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-27","6.49",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"56",",,W","35",",,W",,,"  250",",,W","  240",",,W","15.0",",,W","25.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-28","3.80",",,W",,,"0.21",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"55",",,W","46",",,W",,,"  250",",,W","  250",",,W","13.0",",,W","19.0",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-29","9.17",",,W",,,"0.00","T,,W,2400","0.1",",,W,2400","0.0",",,W,2400",,,"47",",,W","35",",,W",,,"   60",",,W","   50",",,W","21.0",",,W","28.0",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-30","7.61",",,W",,,"0.11",",,W,2400","0.9",",,W,2400","0.0",",,W,2400",,,"36",",,W","24",",,W",,,"  310",",,W","  300",",,W","17.0",",,W","31.1",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-31","6.71",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"33",",,W","18",",,W",,,"  250",",,W","  240",",,W","15.0",",,W","27.1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-01","3.80",",,W",,,"0.05",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"45",",,W","32",",,W",,,"  250",",,W","  250",",,W","13.0",",,W","21.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-02","9.17",",,W",,,"0.18",",,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"41",",,W","17",",,W",,,"  290",",,W","  280",",,W","19.9",",,W","33.1",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-03","7.61",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"31",",,W","16",",,W",,,"  230",",,W","  270",",,W","16.1",",,W","28.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-04","4.03",",,W",,,"0.96",",,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"46",",,W","30",",,W",,,"  230",",,W","  240",",,W","14.1",",,W","23.0",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-05","7.61",",,W",,,"0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"40",",,W","26",",,W",,,"  310",",,W","  280",",,W","17.0",",,W","30.0",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-06","4.03",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"37",",,W","26",",,W",,,"  260",",,W","  260",",,W","14.1",",,W","19.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-07","6.71",",,W",,,"0.85",",,W,2400","0.5",",,W,2400","0.0",",,W,2400",,,"45",",,W","30",",,W",,,"  310",",,W","  310",",,W","17.0",",,W","28.0",",,W","    1",",,W","    1",",,W",,,,,"    1",",,W","    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-08","6.71",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"33",",,W","25",",,W",,,"  310",",,W","  310",",,W","18.1",",,W","27.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-09","4.92",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"39",",,W","26",",,W",,,"  160",",,W","  300",",,W","13.0",",,W","21.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-10","2.24",",,W",,,"0.58",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"50",",,W","39",",,W",,,"  180",",,W","  200",",,W","8.1",",,W","14.1",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-11","3.13",",,W",,,"1.21",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"62",",,W","45",",,W",,,"  180",",,W","  160",",,W","10.1",",,W","17.0",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-12","7.16",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"62",",,W","32",",,W",,,"  360",",,W","  300",",,W","15.0",",,W","21.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-13","5.59",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"38",",,W","26",",,W",,,"  360",",,W","   10",",,W","15.0",",,W","21.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-14","5.37",",,W",,,"0.08",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"53",",,W","35",",,W",,,"  250",",,W","  240",",,W","14.1",",,W","19.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-15","5.14",",,W",,,"0.16",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"62",",,W","46",",,W",,,"  250",",,W","  250",",,W","13.0",",,W","21.0",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-16","6.93",",,W",,,"0.09",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"58",",,W","36",",,W",,,"  320",",,W","  300",",,W","19.9",",,W","36.9",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-17","4.47",",,W",,,"0.52",",,W,2400","4.4",",,W,2400","0.0",",,W,2400",,,"40",",,W","28",",,W",,,"  170",",,W","  310",",,W","15.0",",,W","21.0",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-18","5.82",",,W",,,"0.01",",,W,2400","0.0","T,,W,2400","3.1",",,W,2400",,,"44",",,W","33",",,W",,,"  310",",,W","  320",",,W","14.1",",,W","27.1",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-19","4.25",",,W",,,"0.04",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"49",",,W","36",",,W",,,"  160",",,W","  190",",,W","12.1",",,W","18.1",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-20","6.04",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"67",",,W","47",",,W",,,"  260",",,W","  260",",,W","15.0",",,W","21.0",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-21","5.82",",,W",,,"0.06",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"78",",,W","55",",,W",,,"  250",",,W","  240",",,W","15.0",",,W","25.9",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-22","8.28",",,W",,,"0.17",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"59",",,W","37",",,W",,,"   50",",,W","   10",",,W","16.1",",,W","23.0",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-23","6.26",",,W",,,"0.06",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"42",",,W","36",",,W",,,"  250",",,W","  260",",,W","14.1",",,W","21.0",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-24","5.37",",,W",,,"0.08",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"55",",,W","42",",,W",,,"  260",",,W","  270",",,W","14.1",",,W","21.9",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-25","6.26",",,W",,,"0.73",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"44",",,W","40",",,W",,,"   50",",,W","   60",",,W","16.1",",,W","23.9",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-26","4.47",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"52",",,W","43",",,W",,,"  270",",,W","  300",",,W","10.1",",,W","18.1",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-27","4.47",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"56",",,W","39",",,W",,,"  240",",,W","  250",",,W","14.1",",,W","21.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-28","5.14",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"61",",,W","42",",,W",,,"  260",",,W","  250",",,W","15.0",",,W","25.9",",,W",,,,,,,,,,,,
